id	firstremote	firstsd	ncols	names
1	up1_Data2210010012.001_000847.txt	2210010012.001	15	"[""rec_id"", ""datetime"", ""press1"", ""temp1"", ""relhum1"", ""volt"", ""counts1"", ""nsecs1"",""counts2"", ""nsecs2"", ""sdiAdr"",""sdi1_1"",""sdi1_2"",""sdi1_3"",""sdi1_4""]"
4	up4_Data_2210010012.004_016692.txt	2210010012.004	23	"[""rec_id"", ""datetime"", ""press1"", ""temp1"", ""relhum1"", ""volt"", ""counts1"", ""nsecs1"", ""counts2"", ""nsecs2"", ""MetOne092_1"",""press4"",""temp_ext"", ""relhum_ext"",""N1T_C"",""N1RH"",""N2T_C"",""N2RH"", ""sdiAdr"",""sdi2_1"",""sdi2_2"",""sdi2_3"",""sdi2_4""]"
11	c-4_Data_2211151138.lc4_000020.txt	2211151138.lc4	26	"[""rec_id"",""datetime"",""press1"",""press4"",""temp1"",""relhum1"",""temp_ext"",""relhum_ext"",""D1"",""D4"",""volt"",""counts1"",""nsecs1"",""counts2"",""nsecs2"",""N1T_C"",""N1RH"",""N2T_C"",""N2RH"",""sdiAdr"",""sdi1_1"",""sdi1_2"",""sdi1_3"",""sdi1_4"",""sdi1_5"",""sdi1_6""]"
21	CRSProbe_Data2210010010.021_005870.txt	2210010010.021	20	"[""rec_id"", ""datetime"", ""press1"", ""press4"", ""temp1"",""relhum1"", ""temp_ext"",""relhum_ext"", ""volt"", ""counts1"", ""nsecs1"",""N1T_C"", ""N1RH"", ""sdiAdr"",""sdi1_1"",""sdi1_2"",""sdi1_3"",""sdi1_4"",""sdi1_5"",""sdi1_6""]"
22	CRSProbe_Data2210010015.022_006302.txt	2210010015.022	20	"[""rec_id"", ""datetime"", ""press1"", ""press4"", ""temp1"",""relhum1"", ""temp_ext"",""relhum_ext"", ""volt"", ""counts1"", ""nsecs1"", ""N1T_C"", ""N1RH"",""sdiAdr"",""sdi1_1"",""sdi1_2"",""sdi1_3"",""sdi1_4"",""sdi1_5"",""sdi1_6""]"
26	up26_Data_2210010010.026_000326.txt	2210010010.026	9	"[""rec_id"", ""datetime"", ""press1"", ""press4"", ""temp1"", ""relhum1"", ""volt"", ""counts1"", ""nsecs1""]"
27	None	20221011.027	9	"[""datetime"", ""dummy"", ""counts1"", ""nsecs1"", ""rec_id"", ""weissnich1"", ""weissnich2"", ""weissnich3"", ""weissnich4""]"
33	mq_33_Data_2209290829.033_000022.txt	2210010009.033	24	"[""rec_id"",""datetime"",""press4"",""press1"",""temp1"",""relhum1"",""temp_ext"",""relhum_ext"",""volt"",""counts1"",""nsecs1"",""counts2"",""nsecs2"",""N1T_C"",""N1RH"",""N2T_C"",""N2RH"",""sdiAdr"",""sdi1_1"",""sdi1_2"",""sdi1_3"",""sdi1_4"",""sdi1_5"",""sdi1_6""]"
34	mq_34_Data_2303140842.034_000020.txt	2303140842.034	17	"[""rec_id"",""datetime"",""press1"",""temp1"",""relhum1"",""volt"",""A1"",""A2"",""counts1"",""nsecs1"",""sdiAdr"",""sdi1_1"",""sdi1_2"",""sdi1_3"",""sdi1_4"",""sdi1_5"",""sdi1_6""]"
35	mq_35_Data_2211161254.035_000020.txt	2211161254.035	17	"[""rec_id"",""datetime"",""press1"",""temp1"",""relhum1"",""volt"",""counts1"",""nsecs1"",""temp_ext"",""relhum_ext"",""sdiAdr"",""sdi1_1"",""sdi1_2"",""sdi1_3"",""sdi1_4"",""sdi1_5"",""sdi1_6""]"
